role,name,team,buyPrice,startingFCPrice,actualFCPrice
W;A,Karlsson,Enju City Suns,3,6.0,5.0
C;T,Bernabe',Enju City Suns,18,14.0,9.0
A,Dybala,Enju City Suns,102,35.0,26.0
Pc,Milik,Enju City Suns,1,10.0,1.0
Pc,Cutrone,Enju City Suns,2,8.0,20.0
Pc,Vlahovic,Enju City Suns,231,38.0,27.0
A,Esposito Se.,Enju City Suns,1,3.0,23.0
Crediti Residui: 0,,Enju City Suns,,,
,,Enju City Suns,,,
Team Briacu 2020,,,,,
Ruolo,Calciatore,,Costo,,
Por,Gollini,,1,10.0,2.0
Por,Sommer,,35,18.0,16.0
Por,Martinez Jo.,,7,2.0,1.0
Dc,Bastoni,,50,16.0,18.0
B;Dd;E,Di Lorenzo,,22,20.0,19.0
Ds;E,Hernandez T.,,42,20.0,13.0
Dc,Tomori,,7,14.0,7.0
Dc,Hermoso,,6,10.0,2.0
B;Dd;E,Vojvoda,,1,7.0,5.0
Dc,Pongracic,,1,9.0,1.0
Dd;E,Holm,,4,9.0,8.0
Dd;Dc,Baschirotto,,4,10.0,6.0
E,Carlos Augusto,,15,8.0,15.0
Ds;E,Dorgu,,3,8.0,11.0
M;C,Badelj,,1,6.0,10.0
W,El Shaarawy,,3,7.0,17.0
T;A,Zaniolo,,13,12.0,12.0
C;T,Loftus-Cheek,,17,19.0,9.0
M;C,Rovella,,1,7.0,9.0
C;T,Fagioli,,5,9.0,3.0
M;C,McTominay,,30,19.0,24.0
T,Vlasic,,15,14.0,14.0
C;T,Aebischer,,9,10.0,3.0
C;T,Ferguson,,11,18.0,12.0
W;A,Neres,,18,19.0,23.0
Pc,Lukaku,,40,33.0,30.0
Crediti Residui: 48,,W;A,,,
,,W;A,,,
Morocco Gang,,W;A,,,
Ruolo,Calciatore,W;A,Costo,,
Por,Skorupski,W;A,3,11.0,11.0
Por,Reina,W;A,4,2.0,9.0
Por,De Gea,W;A,3,11.0,19.0
E,Dimarco,W;A,40,23.0,22.0
Dc,Luperto,W;A,12,8.0,11.0
Dc,Mancini,W;A,7,10.0,13.0
Ds;E,Martin,W;A,12,4.0,10.0
B;Ds;E,Kolasinac,W;A,16,10.0,5.0
E;M,Sergi Roberto,W;A,11,9.0,6.0
Ds;Dc,Ranieri L.,W;A,3,8.0,7.0
Dc,Erlic,W;A,1,6.0,4.0
Dd;Dc,De Winter,W;A,1,6.0,3.0
Dc,Beukema,W;A,5,7.0,10.0
B;Dd;E,Delprato,W;A,6,7.0,14.0
M;C,De Roon,W;A,6,9.0,15.0
W;A,Zaccagni,W;A,62,26.0,27.0
T;A,Pulisic,W;A,110,29.0,29.0
M;C,Pessina,W;A,40,13.0,6.0
C,Douglas Luiz,W;A,25,19.0,9.0
W;T,Oudin *,W;A,6,7.0,2.0
M;C,Ramadani,W;A,1,6.0,7.0
C;T,Dele-Bashiru,W;A,1,5.0,14.0
Pc,Pinamonti,W;A,2,17.0,21.0
Pc,Abraham,W;A,1,13.0,10.0
Pc,Lucca,Pc,21,13.0,21.0
Crediti Residui: 10,,Pc,,,
,,Pc,,,
PanDiStelle,,Pc,,,
Ruolo,Calciatore,Pc,Costo,,
Por,Meret,Pc,30,15.0,19.0
Por,Scuffet,Pc,5,7.0,4.0
Por,Caprile,Pc,1,2.0,8.0
E,Zappacosta,Pc,1,8.0,16.0
Dc,Hummels,Pc,1,8.0,5.0
B;Dd;E,Zappa,Pc,1,7.0,8.0
Dc,Martinez Quarta *,Pc,13,11.0,7.0
Dd;Ds;E,Cambiaso,Pc,20,10.0,14.0
B;Ds;E,Olivera,Pc,1,8.0,10.0
Dc,Bijol,Pc,2,8.0,10.0
Ds;E,Valeri,Pc,1,6.0,12.0
Dd;Dc,Posch,Pc,16,9.0,4.0
Dc,Dossena,Pc,1,8.0,7.0
Dc,Marin R.,Pc,1,8.0,1.0
C;T,Pellegrini Lo.,Pc,30,22.0,11.0
M;C,Mandragora,Pc,5,9.0,5.0
M;C,Calhanoglu,Pc,87,30.0,20.0
M;C,Zambo Anguissa,Pc,11,11.0,23.0
T,Gaetano,Pc,1,8.0,11.0
C;T,Malinovskyi,Pc,3,11.0,4.0
W,Strefezza,Pc,16,11.0,20.0
W;T,Suslov,Pc,18,13.0,5.0
M;C,Keita M.,Pc,1,7.0,4.0
A,Beltran L.,W;A,1,11.0,21.0
A,Yildiz,W;A,41,16.0,23.0
Pc,Dovbyk,W;A,124,31.0,23.0
Crediti Residui: 0,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,W;A,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
